Date,UG1_Level,UG1_Volume_L,UG1_Inflow_L,UG2_Level,UG2_Volume_L,UG2_TDS,UG2_pH,UG3_Level,UG3_Volume_L,UG3_TDS,UG3_Outflow_L,Total_Water_Received_L,Water_Consumed_L
01-11-2024,40,4000,500,30,2850,800,7.5,25,2250,600,400,900,765
02-11-2024,42,4200,550,33,3135,820,7.6,28,2520,625,440,990,841.5
03-11-2024,44,4400,600,36,3420,840,7.7,31,2790,650,480,1080,918
04-11-2024,46,4600,650,39,3705,860,7.8,34,3060,675,520,1170,994.5
05-11-2024,48,4800,700,42,3990,880,7.9,37,3330,700,560,1260,1071
06-11-2024,50,5000,750,45,4275,900,8,40,3600,725,600,1350,1147.5
07-11-2024,52,5200,800,48,4560,920,8.1,43,3870,750,640,1440,1224
08-11-2024,54,5400,850,51,4845,940,8.2,46,4140,775,680,1530,1300.5
09-11-2024,56,5600,900,54,5130,960,8.3,49,4410,800,720,1620,1377
10-11-2024,58,5800,950,57,5415,980,8.4,52,4680,825,760,1710,1453.5
11-11-2024,60,6000,1000,60,5700,1000,8.5,55,4950,850,800,1800,1530
12-11-2024,62,6200,1050,63,5985,1020,8.6,58,5220,875,840,1890,1606.5
13-11-2024,64,6400,1100,66,6270,1040,8.7,61,5490,900,880,1980,1683
14-11-2024,66,6600,1150,69,6555,1060,8.8,64,5760,925,920,2070,1759.5
15-11-2024,68,6800,1200,72,6840,1080,8.9,67,6030,950,960,2160,1836
16-11-2024,70,7000,1250,75,7125,1100,9,70,6300,975,1000,2250,1912.5
17-11-2024,72,7200,1300,78,7410,1120,9.1,73,6570,1000,1040,2340,1989
18-11-2024,74,7400,1350,81,7695,1140,9.2,76,6840,1025,1080,2430,2065.5
19-11-2024,76,7600,1400,84,7980,1160,9.3,79,7110,1050,1120,2520,2142
20-11-2024,78,7800,1450,81,7695,1180,9.4,76,6840,1075,1160,2610,2218.5
21-11-2024,80,8000,1400,78,7410,1160,9.5,73,6570,1050,1200,2600,2210
22-11-2024,82,8200,1350,75,7125,1140,9.6,70,6300,1025,1240,2590,2201.5
23-11-2024,84,8400,1300,72,6840,1120,9.7,67,6030,1000,1280,2580,2193
24-11-2024,86,8600,1250,69,6555,1100,9.8,64,5760,975,1240,2490,2116.5
25-11-2024,88,8800,1200,66,6270,1080,9.9,61,5490,950,1200,2400,2040
26-11-2024,86,8600,1150,63,5985,1060,10,58,5220,925,1160,2310,1963.5
27-11-2024,84,8400,1100,60,5700,1040,9.9,55,4950,900,1120,2220,1887
28-11-2024,82,8200,1050,57,5415,1020,9.8,52,4680,875,1080,2130,1810.5
29-11-2024,80,8000,1000,54,5130,1000,9.7,49,4410,850,1040,2040,1734
30-11-2024,78,7800,950,51,4845,980,9.6,46,4140,825,1000,1950,1657.5
01-12-2024,76,7600,900,48,4560,960,9.5,43,3870,800,960,1860,1581
02-12-2024,74,7400,850,45,4275,940,9.4,40,3600,775,920,1770,1504.5
03-12-2024,72,7200,800,42,3990,920,9.3,37,3330,750,880,1680,1428
04-12-2024,70,7000,750,39,3705,900,9.2,34,3060,725,840,1590,1351.5
05-12-2024,68,6800,700,36,3420,880,9.1,31,2790,700,800,1500,1275
06-12-2024,66,6600,650,33,3135,860,9,28,2520,675,760,1410,1198.5
07-12-2024,64,6400,600,36,3420,840,8.9,31,2790,650,720,1320,1122
08-12-2024,62,6200,550,39,3705,820,8.8,34,3060,625,680,1230,1045.5
09-12-2024,60,6000,600,42,3990,840,8.7,37,3330,650,640,1240,1054
10-12-2024,58,5800,650,45,4275,860,8.6,40,3600,675,600,1250,1062.5
11-12-2024,56,5600,700,48,4560,880,8.5,43,3870,700,560,1260,1071
12-12-2024,54,5400,750,51,4845,900,8.4,46,4140,725,520,1270,1079.5
13-12-2024,52,5200,800,54,5130,920,8.3,49,4410,750,480,1280,1088
14-12-2024,50,5000,850,57,5415,940,8.2,52,4680,775,440,1290,1096.5
15-12-2024,48,4800,900,60,5700,960,8.1,55,4950,800,480,1380,1173
16-12-2024,46,4600,950,63,5985,980,8,58,5220,825,520,1470,1249.5
17-12-2024,44,4400,1000,66,6270,1000,7.9,61,5490,850,560,1560,1326
18-12-2024,42,4200,1050,69,6555,1020,7.8,64,5760,875,600,1650,1402.5
19-12-2024,44,4400,1100,72,6840,1040,7.7,67,6030,900,640,1740,1479
20-12-2024,46,4600,1150,75,7125,1060,7.6,70,6300,925,680,1830,1555.5
21-12-2024,48,4800,1200,78,7410,1080,7.7,73,6570,950,720,1920,1632
22-12-2024,50,5000,1250,81,7695,1100,7.8,76,6840,975,760,2010,1708.5
23-12-2024,52,5200,1300,84,7980,1120,7.9,79,7110,1000,800,2100,1785
24-12-2024,54,5400,1350,81,7695,1140,8,76,6840,1025,840,2190,1861.5
25-12-2024,56,5600,1400,78,7410,1160,8.1,73,6570,1050,880,2280,1938
26-12-2024,58,5800,1450,75,7125,1180,8.2,70,6300,1075,920,2370,2014.5
27-12-2024,60,6000,1400,72,6840,1160,8.3,67,6030,1050,960,2360,2006
28-12-2024,62,6200,1350,69,6555,1140,8.4,64,5760,1025,1000,2350,1997.5
29-12-2024,64,6400,1300,66,6270,1120,8.5,61,5490,1000,1040,2340,1989
30-12-2024,66,6600,1250,63,5985,1100,8.6,58,5220,975,1080,2330,1980.5
31-12-2024,68,6800,1200,60,5700,1080,8.7,55,4950,950,1120,2320,1972
01-01-2025,70,7000,1150,57,5415,1060,8.8,52,4680,925,1160,2310,1963.5
02-01-2025,72,7200,1100,54,5130,1040,8.9,49,4410,900,1200,2300,1955
03-01-2025,74,7400,1050,51,4845,1020,9,46,4140,875,1240,2290,1946.5
04-01-2025,76,7600,1000,48,4560,1000,9.1,43,3870,850,1280,2280,1938
05-01-2025,78,7800,950,45,4275,980,9.2,40,3600,825,1240,2190,1861.5
06-01-2025,80,8000,900,42,3990,960,9.3,37,3330,800,1200,2100,1785
07-01-2025,82,8200,850,39,3705,940,9.4,34,3060,775,1160,2010,1708.5
08-01-2025,84,8400,800,36,3420,920,9.5,31,2790,750,1120,1920,1632
09-01-2025,86,8600,750,33,3135,900,9.6,28,2520,725,1080,1830,1555.5
10-01-2025,88,8800,700,36,3420,880,9.7,31,2790,700,1040,1740,1479
11-01-2025,86,8600,650,39,3705,860,9.8,34,3060,675,1000,1650,1402.5
12-01-2025,84,8400,600,42,3990,840,9.9,37,3330,650,960,1560,1326
13-01-2025,82,8200,550,45,4275,820,10,40,3600,625,920,1470,1249.5
14-01-2025,80,8000,600,48,4560,840,9.9,43,3870,650,880,1480,1258
15-01-2025,78,7800,650,51,4845,860,9.8,46,4140,675,840,1490,1266.5
16-01-2025,76,7600,700,54,5130,880,9.7,49,4410,700,800,1500,1275
17-01-2025,74,7400,750,57,5415,900,9.6,52,4680,725,760,1510,1283.5
18-01-2025,72,7200,800,60,5700,920,9.5,55,4950,750,720,1520,1292
19-01-2025,70,7000,850,63,5985,940,9.4,58,5220,775,680,1530,1300.5
20-01-2025,68,6800,900,66,6270,960,9.3,61,5490,800,640,1540,1309
21-01-2025,66,6600,950,69,6555,980,9.2,64,5760,825,600,1550,1317.5
22-01-2025,64,6400,1000,72,6840,1000,9.1,67,6030,850,560,1560,1326
23-01-2025,62,6200,1050,75,7125,1020,9,70,6300,875,520,1570,1334.5
24-01-2025,60,6000,1100,78,7410,1040,8.9,73,6570,900,480,1580,1343
25-01-2025,58,5800,1150,81,7695,1060,8.8,76,6840,925,440,1590,1351.5
26-01-2025,56,5600,1200,84,7980,1080,8.7,79,7110,950,480,1680,1428
27-01-2025,54,5400,1250,81,7695,1100,8.6,76,6840,975,520,1770,1504.5
28-01-2025,52,5200,1300,78,7410,1120,8.5,73,6570,1000,560,1860,1581
29-01-2025,50,5000,1350,75,7125,1140,8.4,70,6300,1025,600,1950,1657.5
30-01-2025,48,4800,1400,72,6840,1160,8.3,67,6030,1050,640,2040,1734
31-01-2025,46,4600,1450,69,6555,1180,8.2,64,5760,1075,680,2130,1810.5
01-02-2025,44,4400,1400,66,6270,1160,8.1,61,5490,1050,720,2120,1802
02-02-2025,42,4200,1350,63,5985,1140,8,58,5220,1025,760,2110,1793.5
03-02-2025,44,4400,1300,60,5700,1120,7.9,55,4950,1000,800,2100,1785
04-02-2025,46,4600,1250,57,5415,1100,7.8,52,4680,975,840,2090,1776.5
05-02-2025,48,4800,1200,54,5130,1080,7.7,49,4410,950,880,2080,1768
06-02-2025,50,5000,1150,51,4845,1060,7.6,46,4140,925,920,2070,1759.5
07-02-2025,52,5200,1100,48,4560,1040,7.5,43,3870,900,960,2060,1751
08-02-2025,54,5400,1050,45,4275,1020,7.6,40,3600,875,1000,2050,1742.5
09-02-2025,56,5600,1000,42,3990,1000,7.7,37,3330,850,1040,2040,1734
10-02-2025,58,5800,950,39,3705,980,7.8,34,3060,825,1080,2030,1725.5
11-02-2025,60,6000,900,36,3420,960,7.9,31,2790,800,1120,2020,1717
12-02-2025,62,6200,850,33,3135,940,8,28,2520,775,1160,2010,1708.5
13-02-2025,64,6400,800,36,3420,920,8.1,31,2790,750,1200,2000,1700
14-02-2025,66,6600,750,39,3705,900,8.2,34,3060,725,1240,1990,1691.5
15-02-2025,68,6800,700,42,3990,880,8.3,37,3330,700,1280,1980,1683
16-02-2025,70,7000,650,45,4275,860,8.4,40,3600,675,1240,1890,1606.5
17-02-2025,72,7200,600,48,4560,840,8.5,43,3870,650,1200,1800,1530
18-02-2025,74,7400,550,51,4845,820,8.6,46,4140,625,1160,1710,1453.5
19-02-2025,76,7600,600,54,5130,840,8.7,49,4410,650,1120,1720,1462
20-02-2025,78,7800,650,57,5415,860,8.8,52,4680,675,1080,1730,1470.5
21-02-2025,80,8000,700,60,5700,880,8.9,55,4950,700,1040,1740,1479
22-02-2025,82,8200,750,63,5985,900,9,58,5220,725,1000,1750,1487.5
23-02-2025,84,8400,800,66,6270,920,9.1,61,5490,750,960,1760,1496
24-02-2025,86,8600,850,69,6555,940,9.2,64,5760,775,920,1770,1504.5
25-02-2025,88,8800,900,72,6840,960,9.3,67,6030,800,880,1780,1513
26-02-2025,86,8600,950,75,7125,980,9.4,70,6300,825,840,1790,1521.5
27-02-2025,84,8400,1000,78,7410,1000,9.5,73,6570,850,800,1800,1530
28-02-2025,82,8200,1050,81,7695,1020,9.6,76,6840,875,760,1810,1538.5
01-03-2025,80,8000,1100,84,7980,1040,9.7,79,7110,900,720,1820,1547
02-03-2025,78,7800,1150,81,7695,1060,9.8,76,6840,925,680,1830,1555.5
03-03-2025,76,7600,1200,78,7410,1080,9.9,73,6570,950,640,1840,1564
04-03-2025,74,7400,1250,75,7125,1100,10,70,6300,975,600,1850,1572.5
05-03-2025,72,7200,1300,72,6840,1120,9.9,67,6030,1000,560,1860,1581
06-03-2025,70,7000,1350,69,6555,1140,9.8,64,5760,1025,520,1870,1589.5
07-03-2025,68,6800,1400,66,6270,1160,9.7,61,5490,1050,480,1880,1598
08-03-2025,66,6600,1450,63,5985,1180,9.6,58,5220,1075,440,1890,1606.5
09-03-2025,64,6400,1400,60,5700,1160,9.5,55,4950,1050,480,1880,1598
10-03-2025,62,6200,1350,57,5415,1140,9.4,52,4680,1025,520,1870,1589.5
11-03-2025,60,6000,1300,54,5130,1120,9.3,49,4410,1000,560,1860,1581
12-03-2025,58,5800,1250,51,4845,1100,9.2,46,4140,975,600,1850,1572.5
13-03-2025,56,5600,1200,48,4560,1080,9.1,43,3870,950,640,1840,1564
14-03-2025,54,5400,1150,45,4275,1060,9,40,3600,925,680,1830,1555.5
15-03-2025,52,5200,1100,42,3990,1040,8.9,37,3330,900,720,1820,1547
16-03-2025,50,5000,1050,39,3705,1020,8.8,34,3060,875,760,1810,1538.5
17-03-2025,48,4800,1000,36,3420,1000,8.7,31,2790,850,800,1800,1530
18-03-2025,46,4600,950,33,3135,980,8.6,28,2520,825,840,1790,1521.5
19-03-2025,44,4400,900,36,3420,960,8.5,31,2790,800,880,1780,1513
20-03-2025,42,4200,850,39,3705,940,8.4,34,3060,775,920,1770,1504.5
21-03-2025,44,4400,800,42,3990,920,8.3,37,3330,750,960,1760,1496
22-03-2025,46,4600,750,45,4275,900,8.2,40,3600,725,1000,1750,1487.5
23-03-2025,48,4800,700,48,4560,880,8.1,43,3870,700,1040,1740,1479
24-03-2025,50,5000,650,51,4845,860,8,46,4140,675,1080,1730,1470.5
25-03-2025,52,5200,600,54,5130,840,7.9,49,4410,650,1120,1720,1462
26-03-2025,54,5400,550,57,5415,820,7.8,52,4680,625,1160,1710,1453.5
27-03-2025,56,5600,600,60,5700,840,7.7,55,4950,650,1200,1800,1530
28-03-2025,58,5800,650,63,5985,860,7.6,58,5220,675,1240,1890,1606.5
29-03-2025,60,6000,700,66,6270,880,7.5,61,5490,700,1280,1980,1683
30-03-2025,62,6200,750,69,6555,900,7.6,64,5760,725,1240,1990,1691.5
31-03-2025,64,6400,800,72,6840,920,7.7,67,6030,750,1200,2000,1700
01-04-2025,66,6600,850,75,7125,940,7.8,70,6300,775,1160,2010,1708.5
02-04-2025,68,6800,900,78,7410,960,7.9,73,6570,800,1120,2020,1717
03-04-2025,70,7000,950,81,7695,980,8,76,6840,825,1080,2030,1725.5
04-04-2025,72,7200,1000,84,7980,1000,8.1,79,7110,850,1040,2040,1734
05-04-2025,74,7400,1050,81,7695,1020,8.2,76,6840,875,1000,2050,1742.5
06-04-2025,76,7600,1100,78,7410,1040,8.3,73,6570,900,960,2060,1751
07-04-2025,78,7800,1150,75,7125,1060,8.4,70,6300,925,920,2070,1759.5
08-04-2025,80,8000,1200,72,6840,1080,8.5,67,6030,950,880,2080,1768
09-04-2025,82,8200,1250,69,6555,1100,8.6,64,5760,975,840,2090,1776.5
10-04-2025,84,8400,1300,66,6270,1120,8.7,61,5490,1000,800,2100,1785
11-04-2025,86,8600,1350,63,5985,1140,8.8,58,5220,1025,760,2110,1793.5
12-04-2025,88,8800,1400,60,5700,1160,8.9,55,4950,1050,720,2120,1802
13-04-2025,86,8600,1450,57,5415,1180,9,52,4680,1075,680,2130,1810.5
14-04-2025,84,8400,1400,54,5130,1160,9.1,49,4410,1050,640,2040,1734
15-04-2025,82,8200,1350,51,4845,1140,9.2,46,4140,1025,600,1950,1657.5
16-04-2025,80,8000,1300,48,4560,1120,9.3,43,3870,1000,560,1860,1581
17-04-2025,78,7800,1250,45,4275,1100,9.4,40,3600,975,520,1770,1504.5
18-04-2025,76,7600,1200,42,3990,1080,9.5,37,3330,950,480,1680,1428
19-04-2025,74,7400,1150,39,3705,1060,9.6,34,3060,925,440,1590,1351.5
20-04-2025,72,7200,1100,36,3420,1040,9.7,31,2790,900,480,1580,1343
21-04-2025,70,7000,1050,33,3135,1020,9.8,28,2520,875,520,1570,1334.5
22-04-2025,68,6800,1000,36,3420,1000,9.9,31,2790,850,560,1560,1326
23-04-2025,66,6600,950,39,3705,980,10,34,3060,825,600,1550,1317.5
24-04-2025,64,6400,900,42,3990,960,9.9,37,3330,800,640,1540,1309
25-04-2025,62,6200,850,45,4275,940,9.8,40,3600,775,680,1530,1300.5
26-04-2025,60,6000,800,48,4560,920,9.7,43,3870,750,720,1520,1292
27-04-2025,58,5800,750,51,4845,900,9.6,46,4140,725,760,1510,1283.5
28-04-2025,56,5600,700,54,5130,880,9.5,49,4410,700,800,1500,1275
29-04-2025,54,5400,650,57,5415,860,9.4,52,4680,675,840,1490,1266.5
30-04-2025,52,5200,600,60,5700,840,9.3,55,4950,650,880,1480,1258
